n,process_time,clock_time,node_count
3,0.010847999999999969,0.00292205810546875,11
4,0.011708000000000052,0.0026960372924804688,11
5,0.01886600000000005,0.004450798034667969,12
6,0.0304399999999998,0.006912946701049805,70
7,0.042556999999999956,0.007967233657836914,66
8,0.06987100000000002,0.011259078979492188,116
9,0.11412100000000014,0.025336027145385742,291
10,0.19949499999999998,0.027511119842529297,402
11,0.2690219999999999,0.03616023063659668,383
12,0.3608060000000002,0.047306060791015625,477
13,0.5507599999999999,0.0719149112701416,626
14,1.4888,0.18942713737487793,2082
15,1.8063000000000002,0.2760782241821289,1973
16,3.9579660000000008,0.4994790554046631,4753
17,7.377762000000001,0.9284200668334961,8812
18,9.763539999999999,1.2268650531768799,9616
19,22.052539,2.766288995742798,16803
20,56.268875,7.049309968948364,33763
21,96.516701,12.092510223388672,58947
22,167.24046299999998,20.95111918449402,108617
23,397.332904,49.761005878448486,220042
24,380.46672,47.643815755844116,190853
25,637.6338579999999,79.88938283920288,280759
26,982.0447139999999,123.24454498291016,494305
27,1098.289455,137.54503393173218,266867
28,3135.3058579999997,392.58060693740845,1098689
29,7951.13158,997.4472529888153,2567322
30,10948.2551,1375.071487903595,2119958
