n,TTS_process_time,TTS_clock_time,node_count
3,0.015165000000000095,0.004517793655395508,11
4,0.015127000000000113,0.0039010047912597656,7
5,0.01932099999999992,0.004148960113525391,7
6,0.03171600000000008,0.006306171417236328,15
7,0.05005599999999988,0.008539199829101562,59
8,0.07519300000000007,0.011845111846923828,63
9,0.0883179999999999,0.013309001922607422,95
10,0.12539900000000004,0.018489837646484375,95
11,0.2628389999999998,0.03503990173339844,319
12,0.220256,0.02976369857788086,143
13,0.5027050000000002,0.06691694259643555,383
14,0.6382509999999999,0.08552312850952148,383
15,0.6764320000000001,0.08881306648254395,319
16,1.5323550000000008,0.19895195960998535,955
17,2.3065119999999997,0.30111217498779297,1416
18,2.446054,0.3132143020629883,1114
19,10.872336,1.379188060760498,5664
20,31.061051999999997,3.8948090076446533,15956
21,74.90055699999999,9.393906831741333,42649
22,51.514809000000014,6.459061145782471,22741
23,126.92041999999998,15.898503303527832,51098
24,86.515984,10.84251594543457,28781
25,268.204884,33.597718238830566,84048
26,109.85154,13.790145874023438,34239
27,285.03144700000007,35.70553421974182,54358
28,610.752637,76.76170706748962,133748
29,2975.7338390000004,373.08093094825745,832974
30,2770.65611,348.13909792900085,332930
31,2414.657982999999,302.49659490585327,329788
32,3307.091225,414.87871408462524,279233
33,9443.361802000001,1184.0082550048828,816092
34,6315.989737,801.5692541599274,629223
35,34951.344879,4382.774933099747,3290434
36,18151.136425000004,2274.3052859306335,1027547
37,11855.841838,1485.1955819129944,528186
38,41946.273000999994,5254.631244182587,2513188
39,70264.788912,8794.172880887985,4642011
